Clave,SISTEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Estado de Situación Financiera (millones de pesos corrientes),ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23
38,Créditos a Empresas Productivas del Estado,"168,450","164,025","143,829","154,823","158,099","161,266","158,786","158,101","132,401","135,820","143,065","174,395","172,206","166,981","183,799","193,741","188,688","185,338","190,628","191,370","200,528","189,631","162,881","149,664","187,913","186,016","216,699","214,894","209,692","194,730","197,219","195,502","187,326","195,251","190,559","165,964","194,864","204,464","198,919","205,147","203,804","208,659","195,374","177,627","192,206","220,663","223,387","231,460","249,184","258,705","244,336","237,063","228,282","222,970","223,850","204,182","213,597"
39,Créditos a Organismos Descentralizados o Desconcentrados,"47,869","47,615","47,072","46,423","41,710","41,602","40,869","46,433","45,527","47,255","47,550","51,118","54,908","51,645","55,795","45,392","34,245","34,977","34,878","32,229","31,961","29,547","27,871","28,490","38,655","39,296","40,567","41,597","40,772","37,935","36,882","36,860","36,964","39,698","40,858","52,117","47,261","52,532","52,287","51,872","52,263","52,388","52,470","52,037","51,583","49,879","36,647","23,276","17,632","19,119","18,636","18,781","17,332","15,592","18,979","29,330","20,015"
40,Otros, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
41,Créditos de Consumo,"753,958","756,863","761,107","766,115","770,408","776,402","780,731","787,784","788,592","804,032","816,388","809,537","806,141","806,954","802,996","787,783","780,226","758,159","756,373","760,461","761,293","756,502","764,006","754,561","743,643","739,553","744,165","747,144","753,068","760,617","766,262","771,363","779,140","775,125","797,610","792,928","787,718","793,144","803,858","813,915","825,749","839,896","849,000","862,627","873,515","886,444","910,743","909,429","1,020,944","1,033,198","1,044,803","1,059,220","1,074,512","1,096,125","1,108,212","1,126,514","1,144,672"
42,Tarjeta de Crédito,"197,639","196,853","195,982","198,106","199,225","201,740","202,704","204,502","203,520","215,349","225,837","220,818","217,562","216,576","210,502","200,356","198,320","199,168","199,314","201,525","203,029","200,941","210,542","203,183","197,274","195,701","195,267","196,664","201,686","204,140","205,420","207,852","212,011","202,636","217,690","213,697","210,008","210,573","212,538","216,945","222,418","225,773","227,476","234,015","237,679","243,181","262,036","257,059","321,075","324,504","326,360","333,001","338,075","347,318","353,370","360,006","365,031"
43,Consumo no Revolvente,"556,319","560,010","565,125","568,009","571,183","574,662","578,027","583,282","585,071","588,683","590,551","588,719","588,579","590,378","592,494","587,427","581,906","558,991","557,058","558,936","558,264","555,561","553,464","551,378","546,369","543,851","548,898","550,481","551,382","556,477","560,843","563,511","567,129","572,489","579,920","579,231","577,709","582,570","591,320","596,970","603,331","614,124","621,524","628,612","635,836","643,263","648,707","652,370","699,869","708,694","718,444","726,220","736,437","748,807","754,842","766,508","779,641"
44,Personales,"171,820","172,335","172,719","172,588","172,185","171,434","170,558","171,601","171,043","171,554","171,116","169,654","169,633","169,115","170,008","168,168","165,637","146,678","146,336","145,678","145,314","145,066","143,077","141,468","140,029","138,905","139,561","139,296","140,229","142,081","142,145","142,827","145,106","146,875","148,573","149,031","145,731","147,030","149,480","152,066","154,103","156,419","157,862","160,473","161,842","162,846","162,881","163,531","178,078","179,663","182,710","184,794","186,641","190,499","192,496","196,173","198,412"
45,Nómina,"236,023","238,341","242,166","243,549","245,779","248,949","251,359","254,086","255,387","257,664","257,642","254,712","254,492","256,474","257,456","254,502","253,333","252,635","252,048","252,917","253,133","252,737","250,390","248,267","248,116","248,419","250,132","251,918","253,814","256,786","258,959","261,465","264,574","267,607","268,959","268,535","267,951","269,871","273,691","278,321","282,150","287,147","291,776","296,218","300,807","304,560","306,841","308,541","312,807","316,501","320,979","325,939","329,505","333,407","336,355","340,607","345,956"
46,ABCD,"127,357","128,194","129,393","130,510","131,737","132,952","134,295","135,549","136,418","137,323","139,440","141,499","142,594","143,039","142,917","140,792","139,455","140,042","141,215","142,021","142,056","141,336","142,192","141,845","140,400","139,364","139,314","138,719","138,169","138,080","137,684","137,347","137,010","136,382","138,072","138,381","138,968","138,853","139,820","139,691","140,652","141,963","142,507","143,985","144,408","144,988","148,937","151,304","178,923","180,671","183,971","184,929","187,764","191,021","193,146","196,217","199,154"
47,Automotriz,"115,788","116,487","117,522","118,551","119,434","120,310","121,400","122,450","123,143","123,947","125,112","126,811","127,767","128,104","127,927","125,940","124,783","125,156","125,798","125,942","125,282","124,175","122,915","121,976","120,326","118,969","118,397","117,466","116,623","116,375","115,882","115,559","115,010","114,453","114,096","113,913","111,384","111,116","111,731","111,592","112,139","112,969","113,275","114,242","114,529","115,368","117,575","119,277","146,413","148,301","151,577","153,022","155,731","158,772","161,319","164,410","167,323"
48,Adquisición de Bienes Muebles,"11,569","11,707","11,871","11,959","12,303","12,642","12,895","13,099","13,275","13,376","14,328","14,687","14,827","14,935","14,990","14,852","14,672","14,886","15,417","16,079","16,774","17,161","19,276","19,869","20,074","20,395","20,917","21,252","21,546","21,705","21,802","21,788","21,999","21,929","23,976","24,468","27,584","27,737","28,088","28,099","28,514","28,994","29,231","29,744","29,879","29,620","31,361","32,027","32,510","32,370","32,393","31,906","32,032","32,250","31,827","31,806","31,832"
49,Microcréditos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,217","23,973","25,598","24,205","23,696","25,974","26,782","25,234","26,051","28,233","27,359","26,322","27,461","29,222","28,181","27,972","29,960","31,305","30,214","30,902","33,455"
50,Otros Créditos de Consumo,"21,119","21,139","20,848","21,362","21,482","21,328","21,815","22,046","22,224","22,143","22,354","22,854","21,860","21,749","22,113","23,964","23,480","19,636","17,460","18,319","17,761","16,422","17,805","19,797","17,824","17,164","19,890","20,549","19,170","19,530","22,055","21,871","20,440","21,625","24,316","23,284","2,842","2,844","2,730","2,687","2,729","2,620","2,596","2,702","2,728","2,635","2,690","2,671","2,600","2,638","2,603","2,585","2,567","2,575","2,631","2,610","2,663"
